"filename", "language", "JSON", "JSON with Comments", "Markdown", "Pug", "JavaScript", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\kiwi_\Documents\Programming\Forecast\src\models\CustomInspection.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 1, 3, 17
"c:\Users\kiwi_\Documents\Programming\Forecast\src\models\CustomStyle.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\kiwi_\Documents\Programming\Forecast\src\models\CustomUnit.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 1, 3, 17
"c:\Users\kiwi_\Documents\Programming\Forecast\src\models\MissedUnits.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\kiwi_\Documents\Programming\Forecast\src\models\Schedule.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"c:\Users\kiwi_\Documents\Programming\Forecast\src\models\Unit.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 206, 25, 59, 290
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\css\unitStyling.css", "CSS", 0, 0, 0, 0, 0, 0, 61, 159, 48, 268
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\clearUnitSchedule.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\create.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\deleteUnit.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\editUnit.ts", "TypeScript", 0, 0, 0, 0, 0, 85, 0, 12, 34, 131
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\getSchedule.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 17, 22, 91
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\init.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\months.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\selectorSystem.ts", "TypeScript", 0, 0, 0, 0, 0, 123, 0, 4, 30, 157
"c:\Users\kiwi_\Documents\Programming\Forecast\src\public\js\shopDropDown.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 19, 16, 61
"c:\Users\kiwi_\Documents\Programming\Forecast\src\routes\api.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 11, 24
"c:\Users\kiwi_\Documents\Programming\Forecast\src\routes\confirm.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 11, 43
"c:\Users\kiwi_\Documents\Programming\Forecast\src\routes\file.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 8, 13, 51
"c:\Users\kiwi_\Documents\Programming\Forecast\src\routes\index.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\kiwi_\Documents\Programming\Forecast\src\routes\matrix.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 6, 15
"c:\Users\kiwi_\Documents\Programming\Forecast\src\routes\year.ts", "TypeScript", 0, 0, 0, 0, 0, 327, 0, 13, 85, 425
"c:\Users\kiwi_\Documents\Programming\Forecast\src\views\includes\sidebar.pug", "Pug", 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
"c:\Users\kiwi_\Documents\Programming\Forecast\src\views\index.pug", "Pug", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"c:\Users\kiwi_\Documents\Programming\Forecast\src\views\matrix.pug", "Pug", 0, 0, 0, 52, 0, 0, 0, 33, 1, 86
"c:\Users\kiwi_\Documents\Programming\Forecast\src\views\month.pug", "Pug", 0, 0, 0, 54, 0, 0, 0, 1, 4, 59
"c:\Users\kiwi_\Documents\Programming\Forecast\src\views\year.pug", "Pug", 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\kiwi_\Documents\Programming\Forecast\tsconfig.json", "JSON with Comments", 0, 16, 0, 0, 0, 0, 0, 87, 9, 112
"Total", "-", 6536, 16, 2, 332, 1766, 1546, 534, 762, 738, 12232
